FH,FR,MH,MR,CG,NU,Distance,TallerParent,CH
165.1,0.0,170.18,0.0,1.0,0,5.0800000000000125,1.0,147.32
182.88,0.0,162.56,0.0,1.0,0,20.319999999999993,-1.0,165.1
177.8,0.0,160.02,0.0,1.0,0,17.78,-1.0,167.64
175.26,0.0,162.56,0.0,0.0,0,12.699999999999989,-1.0,167.64
172.72,1.0,177.8,1.0,0.0,0,5.0800000000000125,1.0,182.88
187.96,1.0,167.64,1.0,1.0,0,20.32000000000002,-1.0,170.18
185.42,1.0,175.26,1.0,0.0,0,10.159999999999997,-1.0,182.88
177.8,0.0,167.64,0.0,0.0,0,10.160000000000025,-1.0,172.72
170.18,1.0,162.56,1.0,0.0,0,7.6200000000000045,-1.0,165.1
160.02,1.0,187.96,1.0,0.0,0,27.939999999999998,1.0,190.5
170.18,1.0,165.1,1.0,0.0,0,5.0800000000000125,-1.0,182.88
195.58,1.0,175.26,1.0,0.0,0,20.32000000000002,-1.0,180.34
165.1,1.0,167.64,1.0,0.0,0,2.539999999999992,1.0,170.18
165.1,0.0,182.88,0.0,0.0,0,17.78,1.0,180.34
177.8,0.0,152.4,0.0,1.0,0,25.400000000000006,-1.0,170.18
190.5,0.0,162.56,0.0,1.0,0,27.939999999999998,-1.0,170.18
175.26,4.0,167.64,4.0,1.0,0,7.6200000000000045,-1.0,167.64
170.18,1.0,167.64,1.0,0.0,0,2.5400000000000205,-1.0,172.72
182.42,1.0,165.1,1.0,0.0,0,17.319999999999993,-1.0,185.42
182.88,0.0,157.48,0.0,1.0,0,25.400000000000006,-1.0,154.94
182.88,1.0,162.56,1.0,1.0,0,20.319999999999993,-1.0,162.56
188.0,0.0,173.0,0.0,1.0,0,15.0,-1.0,178.0
188.0,1.0,150.0,1.0,1.0,0,38.0,-1.0,170.0
175.0,1.0,178.0,0.0,1.0,0,3.0,1.0,178.0
175.0,1.0,183.0,1.0,1.0,0,8.0,1.0,165.0
178.0,0.0,170.0,1.0,0.0,0,8.0,-1.0,183.0
185.0,0.0,152.0,0.0,1.0,0,33.0,-1.0,168.0
165.0,3.0,157.0,3.0,1.0,1,8.0,-1.0,165.0
178.0,1.0,152.0,1.0,1.0,0,26.0,-1.0,163.0
170.0,1.0,157.0,1.0,1.0,1,13.0,-1.0,163.0
173.0,1.0,152.0,1.0,0.0,0,21.0,-1.0,183.0
175.0,1.0,150.0,1.0,1.0,0,25.0,-1.0,163.0
183.0,1.0,168.0,1.0,1.0,0,15.0,-1.0,175.0
163.0,3.0,170.0,1.0,1.0,0,7.0,1.0,165.0
175.0,1.0,173.0,1.0,1.0,0,2.0,-1.0,178.0
165.0,1.0,163.0,1.0,1.0,1,2.0,-1.0,150.0
185.0,1.0,170.0,1.0,1.0,0,15.0,-1.0,175.0
178.0,1.0,170.0,1.0,1.0,0,8.0,-1.0,183.0
170.0,1.0,165.0,1.0,0.0,0,5.0,-1.0,175.0
185.0,0.0,165.0,0.0,1.0,0,20.0,-1.0,167.0
165.0,0.0,150.0,0.0,1.0,0,15.0,-1.0,157.0
165.0,0.0,150.0,0.0,1.0,0,15.0,-1.0,150.0
165.0,0.0,150.0,0.0,1.0,0,15.0,-1.0,155.0
165.0,3.0,155.0,3.0,1.0,0,10.0,-1.0,157.0
165.0,3.0,155.0,3.0,0.0,0,10.0,-1.0,172.0
175.0,0.0,168.0,0.0,1.0,0,7.0,-1.0,170.0
175.0,0.0,168.0,0.0,1.0,0,7.0,-1.0,172.0
175.0,0.0,168.0,0.0,1.0,0,7.0,-1.0,171.0
175.0,0.0,168.0,0.0,0.0,0,7.0,-1.0,180.0
170.0,0.0,177.0,0.0,1.0,0,7.0,1.0,177.0
170.0,0.0,177.0,0.0,1.0,0,7.0,1.0,167.0
170.0,0.0,177.0,0.0,0.0,0,7.0,1.0,188.0
183.0,0.0,165.0,0.0,1.0,0,18.0,-1.0,165.0
183.0,0.0,165.0,0.0,0.0,0,18.0,-1.0,183.0
179.0,3.0,156.0,3.0,0.0,0,23.0,-1.0,186.0
172.0,3.0,162.0,3.0,1.0,1,10.0,-1.0,164.0
172.0,3.0,162.0,3.0,1.0,1,10.0,-1.0,159.0
172.0,3.0,162.0,3.0,0.0,1,10.0,-1.0,170.0
174.0,3.0,163.0,3.0,0.0,1,11.0,-1.0,179.0
174.0,3.0,163.0,3.0,1.0,0,11.0,-1.0,162.0
174.0,3.0,163.0,3.0,1.0,0,11.0,-1.0,164.0
174.0,3.0,168.0,3.0,0.0,0,6.0,-1.0,183.0
174.0,3.0,168.0,3.0,1.0,0,6.0,-1.0,178.0
178.0,3.0,162.0,3.0,1.0,0,16.0,-1.0,168.0
178.0,3.0,162.0,3.0,1.0,0,16.0,-1.0,168.0
159.0,3.0,167.0,3.0,1.0,0,8.0,1.0,152.0
159.0,3.0,167.0,3.0,1.0,0,8.0,1.0,158.0
171.0,3.0,160.0,3.0,1.0,0,11.0,-1.0,161.0
171.0,3.0,160.0,3.0,1.0,0,11.0,-1.0,158.0
176.0,3.0,168.0,3.0,0.0,0,8.0,-1.0,183.0
162.0,3.0,155.0,3.0,1.0,0,7.0,-1.0,165.0
162.0,3.0,155.0,3.0,0.0,0,7.0,-1.0,170.0
173.0,3.0,165.0,3.0,0.0,0,8.0,-1.0,182.0
173.0,3.0,165.0,3.0,1.0,0,8.0,-1.0,170.0
278.0,3.0,155.0,3.0,0.0,0,123.0,-1.0,173.0
171.0,3.0,167.0,3.0,0.0,0,4.0,-1.0,178.0
171.0,3.0,167.0,3.0,0.0,0,4.0,-1.0,171.0
170.0,3.0,156.0,3.0,0.0,0,14.0,-1.0,177.0
173.0,3.0,160.0,3.0,1.0,0,13.0,-1.0,165.0
