FH,FR,MH,MR,CH,CG,NU
175.0,3.0,168.0,3.0,180.0,0.0,0
170.0,3.0,159.0,3.0,162.5,1.0,0
170.0,3.0,159.0,3.0,165.0,1.0,0
172.0,3.0,158.0,3.0,168.0,1.0,0
172.0,3.0,158.0,3.0,175.0,0.0,0
172.0,3.0,158.0,3.0,176.5,0.0,0
165.5,3.0,162.5,3.0,170.0,1.0,0
172.0,3.0,161.0,3.0,172.0,0.0,0
166.0,3.0,160.0,3.0,179.0,0.0,0
170.0,3.0,165.0,3.0,162.5,1.0,0
183.0,3.0,169.0,3.0,185.0,0.0,0
169.0,3.0,161.0,3.0,176.0,0.0,0
180.0,3.0,156.0,3.0,164.0,1.0,0
174.0,3.0,164.0,3.0,164.0,1.0,0
170.0,3.0,165.0,3.0,160.0,1.0,0
169.0,3.0,159.0,3.0,170.0,0.0,0
176.0,3.0,170.0,3.0,177.0,1.0,0
176.0,3.0,170.0,3.0,170.0,1.0,0
179.0,3.0,156.0,3.0,186.0,0.0,0
182.88,0.0,175.26,0.0,192.0,0.0,0
180.0,2.0,160.0,2.0,180.0,0.0,0
187.96,0.0,165.1,0.0,182.9,0.0,0
198.12,0.0,177.8,0.0,188.0,0.0,0
175.26,3.0,162.56,0.0,182.9,0.0,0
165.1,2.0,160.02,2.0,175.3,0.0,0
185.42,2.0,172.72,2.0,182.9,0.0,0
182.88,0.0,160.02,0.0,172.7,0.0,0
167.64,0.0,165.1,0.0,154.94,1.0,0
182.88,0.0,160.02,0.0,167.64,0.0,0
172.72,0.0,165.1,0.0,175.26,0.0,0
175.26,0.0,162.56,0.0,180.34,0.0,0
172.72,0.0,167.64,0.0,182.88,0.0,0
175.26,0.0,175.26,0.0,167.64,0.0,0
155.0,1.0,155.0,1.0,155.0,1.0,0
155.0,1.0,155.0,1.0,149.0,1.0,0
157.0,1.0,157.0,1.0,157.0,1.0,0
186.0,1.0,186.0,1.0,186.0,0.0,0
186.0,1.0,186.0,1.0,157.0,1.0,0
186.0,1.0,186.0,1.0,160.0,1.0,0
186.0,1.0,186.0,1.0,170.0,1.0,0
180.0,1.0,180.0,1.0,180.0,0.0,0
167.0,1.0,167.0,1.0,167.0,1.0,0
167.0,1.0,167.0,1.0,185.0,0.0,0
167.0,1.0,167.0,1.0,165.0,1.0,0
179.0,1.0,156.0,3.0,186.0,0.0,0
187.96,1.0,160.02,1.0,177.8,0.0,0
175.26,0.0,172.72,1.0,157.48,1.0,0
173.0,2.0,156.0,2.0,174.0,0.0,0
177.8,1.0,167.64,1.0,175.26,0.0,0
182.88,0.0,149.86,0.0,167.64,0.0,0
160.02,0.0,152.4,0.0,165.1,0.0,0
190.5,0.0,175.26,0.0,194.31,0.0,0
177.8,1.0,172.72,1.0,177.8,0.0,0
177.8,0.0,157.48,0.0,182.88,0.0,0
175.26,3.0,170.18,3.0,177.8,0.0,0
185.0,0.0,160.0,0.0,177.0,1.0,0
175.0,0.0,168.0,0.0,169.0,1.0,0
168.0,0.0,170.0,0.0,180.0,0.0,1
184.0,0.0,160.0,0.0,174.0,0.0,0
179.0,0.0,166.0,0.0,172.0,1.0,0
178.0,0.0,172.0,0.0,168.0,0.0,0
180.0,0.0,150.0,0.0,155.0,1.0,0
177.0,0.0,163.0,0.0,187.0,0.0,0
170.0,0.0,160.0,0.0,160.0,1.0,0
185.0,0.0,168.0,0.0,160.0,1.0,0
175.0,0.0,165.0,0.0,155.0,1.0,0
185.0,0.0,163.0,0.0,167.0,1.0,0
188.0,0.0,167.0,0.0,173.0,1.0,0
175.0,0.0,169.0,0.0,162.0,1.0,1
181.0,0.0,162.0,0.0,179.0,0.0,0
175.0,0.0,158.0,0.0,163.0,1.0,0
178.0,0.0,162.0,0.0,160.0,1.0,0
168.0,0.0,173.0,0.0,158.0,1.0,0
168.0,2.0,161.0,2.0,173.0,1.0,1
