FH,FR,MH,MR,CH,CG,NU
167,B,167,B,185,M,No
167,B,167,B,165,F,No
179,B,156,A,186,M,No
187.96,B,160.02,B,177.8,M,No
175.26,W,172.72,B,157.48,F,No
173,SA,156,SA,174,M,No
177.8,B,167.64,B,175.26,M,No
182.88,W,149.86,W,167.64,M,No
160.02,W,152.4,W,165.1,M,No
190.5,W,175.26,W,194.31,M,No
177.8,B,172.72,B,177.8,M,No
177.8,W,157.48,W,182.88,M,No
175.26,A,170.18,A,177.8,M,No
185,W,160,W,177,F,No
175,W,168,W,169,F,No
168,W,170,W,180,M,YES
184,W,160,W,174,M,No
179,W,166,W,172,F,No
178,W,172,W,168,M,No
180,W,150,W,155,F,No
177,W,163,W,187,M,No
170,W,160,W,160,F,No
185,W,168,W,160,F,No
175,W,165,W,155,F,No
185,W,163,W,167,F,No
188,W,167,W,173,F,No
175,W,169,W,162,F,YES
181,W,162,W,179,M,No
175,W,158,W,163,F,No
178,W,162,W,160,F,No
168,W,173,W,158,F,No
168,SA,161,SA,173,F,YES
