FH,FR,MH,MR,CG,NU,FH_x_Squared,FR_x_Squared,MH_x_Squared,MR_x_Squared,CG_x_Squared,NU_x_Squared,Distance,TallerParent,Distance_Squared,TallerParent_Squared,CH
182.88,0.0,157.48,0.0,0.0,0,33445.0944,0.0,24799.950399999998,0.0,0.0,0,25.400000000000006,-1.0,645.1600000000003,1.0,177.8
154.94,0.0,172.72,0.0,0.0,0,24006.403599999998,0.0,29832.1984,0.0,0.0,0,17.78,1.0,316.12840000000006,1.0,180.34
177.0,3.0,175.0,0.0,0.0,0,31329.0,9.0,30625.0,0.0,0.0,0,2.0,-1.0,4.0,1.0,175.0
162.56,0.0,152.4,0.0,1.0,0,26425.7536,0.0,23225.760000000002,0.0,1.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,152.4
180.34,0.0,172.72,0.0,0.0,0,32522.515600000002,0.0,29832.1984,0.0,0.0,0,7.6200000000000045,-1.0,58.06440000000007,1.0,175.26
185.42,0.0,154.94,0.0,1.0,0,34380.5764,0.0,24006.403599999998,0.0,1.0,0,30.47999999999999,-1.0,929.0303999999994,1.0,170.18
177.8,0.0,157.0,0.0,1.0,0,31612.840000000004,0.0,24649.0,0.0,1.0,0,20.80000000000001,-1.0,432.6400000000005,1.0,165.0
182.8,0.0,162.5,0.0,0.0,0,33415.840000000004,0.0,26406.25,0.0,0.0,0,20.30000000000001,-1.0,412.0900000000005,1.0,185.4
165.1,0.0,162.56,0.0,0.0,0,27258.01,0.0,26425.7536,0.0,0.0,0,2.539999999999992,-1.0,6.451599999999959,1.0,172.72
172.72,0.0,165.1,0.0,0.0,0,29832.1984,0.0,27258.01,0.0,0.0,0,7.6200000000000045,-1.0,58.06440000000007,1.0,175.26
170.18,2.0,170.18,2.0,0.0,0,28961.2324,4.0,28961.2324,4.0,0.0,0,0.0,,0.0,,175.26
172.72,0.0,165.1,0.0,0.0,0,29832.1984,0.0,27258.01,0.0,0.0,0,7.6200000000000045,-1.0,58.06440000000007,1.0,180.34
